UNIVERSITY OF THE WESTERN CAPE;;;;;;;;
Faculty of Economic and Management Sciences — 2026 Comprehensive Module Directory;;;;;;;;
Grounded in the 2026 Faculty Calendar | Total: 110 Academic Modules Covered;;;;;;;;
;;;;;;;;
Module Code;Module Name;Year Level;Programmes;Pre-requisite;Co-requisite;Learning Outcome;Main Content;Credits
MAN233;Operations Management 233;Level 2;1008, 1751, 1761, 7211, 1011, 8061;MAN131 or MAN132;None;Define operations management objectives, design operations processes, and monitor quality control.;Operations strategy, capacity planning, process design, supply chain integration, quality audits.;10
MAN303;Services Marketing 303;Level 3;1008, 1751, 1011, 7211, 8061;MAN231 and MAN233;None;Critically distinguish service products and design services marketing mixes to improve customer service.;Nature of services, services branding, pricing, physical evidence, service delivery channels.;15
MAN304;Strategic Management 304;Level 3;1008, 1751, 1011, 7211;MAN201 and MAN206;MAN314;Perform internal and external environmental scans to formulate organizational strategy.;Vision, mission, strategic objectives, environment scans, strategy formulation and execution models.;15
MAN314;Research and Communication for Business 314;Level 3;1008, 1751, 7211, 8061;MAN231/233 or MAN201/206;MAN304 or MAN325;Apply communication theory and research methods to design qualitative or quantitative business research.;Literature review, quantitative instruments, data collection, analytical reports, business proposals.;15
MAN325;Project Management 325;Level 3;1008, 1751, 7211, 8061;MAN231 and MAN233;None;Map the project lifecycle and identify resource requirements across all project stages.;Project manager roles, project charter, schedule, budget modeling, stakeholder coordination.;15
POL231;South Africa in Comparative Political Context 231;Level 2;1011, 2101;POL131 or GOV132 or POL142;None;Compare South African political systems, institutions, and state development with global models.;State development, political regimes, electoral systems, policy outcomes in comparative perspective.;20
POL232;International Political Dynamics 232;Level 2;1011, 2101;POL131 or GOV132 or POL142;None;Analyze foreign policy formulation and key debates in international relations.;Foreign policy concepts, international political economy, diplomatic history, global governance.;20
PUA231;Public Policy and Research 231;Level 2;1011;None;None;Explain public policy-making processes, models of policy analysis, and research design.;Policy analysis, institutional arrangements, public participation, quantitative and qualitative research.;20
PUA232;Public Administration 232;Level 2;1011;None;None;Examine the structures and functions of the South African public service.;Constitutional frameworks, public management principles, local governance, and service delivery.;20
QSA131;Quantitative Skills for Accounting 131;Level 1;1753;None;None;Solve commercial and business problems involving proportions, discounts, and compound interest.;Proportion, discounts and markdowns, break-even analysis, time value of money, linear graphs.;15
QSC131;Quantitative Skills for Commerce 131/132;Level 1;1008, 7211, 1175;None;QLC141/142;Apply algebra, financial mathematics, and descriptive statistics to business cases.;Algebraic equations, linear/parabolic graphs, simple/compound interest, measures of central tendency.;15
QSC141;Quantitative Skills for Commerce 141;Level 1;1751, 1761, 1762;None;None;Apply foundational mathematical calculations to commercial and managerial situations.;Equations, basic algebraic formulations, arithmetic, and introductory statistics.;15
STC101;Statistics for Commerce 101;Level 2;1761, 1762;QSC141/QSC142/MAM116;None;Analyse datasets using appropriate visualization, probability, and indexing tools.;Descriptive statistics, index numbers, probability distributions, testing hypotheses.;15
TAX212;Taxation 212;Level 2;1021, 1753;FIA131, FIA132;None;Explain tax legislation and calculate individual taxable income.;Income tax framework, gross income, exempt income, allowable deductions, tax tables.;10
TAX242;Taxation 242;Level 2;1021, 1753;None;None;Calculate individual taxable income, complete returns, and calculate VAT liabilities.;Taxable income framework, individual returns, capital gains introduction, VAT return processing.;10
TAX327;Taxation 327;Level 3;1021, 1753;TAX228, TAX212;None;Formulate tax plans and calculate corporate tax liabilities.;Corporate tax, partnerships, capital gains tax, estate duty, advanced tax legislation.;30
TAX343;Taxation 343;Level 3;1021, 1753;TAX242/TAX228;None;Analyse complex transactions and calculate corporate tax and capital gains.;Corporate taxation, capital gains tax, tax administration, and compliance audits.;30
;;;;;;;;
TOTAL UNIQUE REGISTERED MODULE CREDITS;;;;;;;;1 850
