Module Code;Module Name;Year Level;Programmes;Pre-requisite;Co-requisite;Learning Outcome;Main Content;Credits
MIC355;Medical Microbiology for Dentistry 355;Level 3;5101;None;None;Identify oral pathogens and apply principles of immunology and sterilization.;"Virology; bacteriology; immunology; infection control; dental water unit biofilms.";20
OBI210;Oral Biology 210;Level 2;5101;None;None;Describe the development, clinical genetics, and macroscopic features of oral structures.;"Head and face development; dental embryology; tooth morphology; histology; tooth modeling in wax.";25
ODP310;Oral Diseases and Prevention 310;Level 3;5211;None;None;Describe current trends and prevention strategies for oral diseases.;"Oral cancer; periodontal disease trends; fluoride/diet interventions; evaluation.";25
ODS120;Oral Diseases 120;Level 1;5211;None;None;Identify clinical features of dental caries and basic periodontal disease.;"Caries pathology; plaque microbiology; gingivitis classification; oral hygiene tools.";10
ODS210;Oral Diseases 210;Level 2;5211;None;None;"Use basic pathology terminology; explain developmental disorders of teeth.";"General pathology terms; neoplasia; blood disorders; tooth anomalies.";10
OHP213;Oral Health Promotion 213;Level 2;5211;None;None;"Design health promotion programs; communicate oral health strategies.";"Promotion theories; societal health; communication; ethics in promotion.";15
OHP320;Oral Health Promotion 320;Level 3;5211;None;None;Implement and evaluate school and community oral health promotion programs.;"Program implementation; outcome measurement; community engagement.";20
OMP301;Periodontology 301;Level 3;5101;None;None;Perform periodontal charting, scaling, root planing, and diagnosis.;"Biologic basis of periodontology; clinical periodontology; instrumentation; records.";20
OMP401;Oral Medicine I;Level 4;5101;None;None;Diagnose and manage systemic diseases presenting in the oral cavity.;"Mucosal infections; immune-mediated disorders; precancerous lesions; systemic linkages.";10
OPA400;Oral Pathology 400;Level 4;5101;None;None;Diagnose and explain pathological changes in oral tissues.;"Odontogenic cysts & tumors; bone pathologies; salivary disorders; oral cancer histopathology.";20
ORT320;Basic Orthodontics 320;Level 3;5101;None;None;Identify developing malocclusions and plan simple interceptive treatments.;"Etiology of malocclusions; growth and development; orthodontic diagnostic methods.";10
ORT400;Orthodontics 400;Level 4;5101;None;None;Diagnose and manage pediatric malocclusions using active appliance therapies.;"Clinical orthodontics; appliance adjustments; cephalometric analysis; treatment outcome audits.";20
PAT310;Systemic Pathology 310;Level 3;5101;None;None;Categorise and explain disease states commonly encountered at an organosystematic level.;"Organosystemic pathology; cardiovascular, respiratory, renal, gastrointestinal, and endocrine diseases.";10
PCL305;Dental Pharmacology 305;Level 3;5101;None;None;Apply pharmacological principles to prescribe dental therapeutic drugs.;"Pharmacodynamics; pharmacokinetics; analgesics; antibiotics; local anaesthetics; prescription laws.";20
PED400;Paediatric Dentistry and Techniques 400;Level 4;5101;None;None;"Diagnose and treat children and adolescents; apply preventive and clinical techniques.";"Behaviour management; restorative dentistry in children; trauma; Children's Act consent.";15
PER211;Periodontology for Oral Health 211;Level 2;5211;None;None;"Describe anatomical periodontal structures; identify factors contributing to disease.";"Periodontal terminology; etiology; clinical features; emergencies; maintenance.";10
PER400;Periodontology II;Level 4;5101;None;None;Distinguish between non-surgical and surgical management of periodontal diseases.;"Clinical case studies; supportive therapy; plastic surgery introduction; special needs.";10
PHY113;Physics for Dentistry 113;Level 1;5101;None;None;Explain and apply physical laws governing energy, biomechanics, and sound in dentistry.;"Mechanics; wave motion; sound; optics; radiation physics principles; dental applications.";15
PMG310;Principles of Medicine and General Surgery for Dentists 310;Level 3;5101;None;None;Collect, record, and communicate clinical medical information systematically.;"History-taking; physical examinations of clothed patients; laboratory investigations (Hb/HGT).";15
POH121;Pharmacology for Oral Health 121;Level 2;5211;None;None;Explain drug administration routes, stages of analgesia, and general anaesthesia.;"Analgesics; local anesthetics; stages of anesthesia; tranquilizers action & toxicity.";5
PRE410;Prevention 410;Level 4;5101;None;None;Critique intervention options regarding fluoride, diet, sugar, and dental caries.;"Philosophical prevention issues; community programs; evidence-based options.";10
PRM500;Practice Management 500;Level 5;5101;None;None;Identify legal, professional, and financial tools necessary for running a dental practice.;"Dental practice legislation; business environment; financial auditing; human resources.";5
PRO300;Dental Prosthetics 300;Level 3;5101;None;None;"Design and construct partial removable dentures; perform clinical fittings.";"Removable partial dentures; model casting; clasp selection; clinical insertion; quotas.";15
PRO401;Prosthetic Dentistry 401;Level 4;5101;None;None;Manage patients presenting with advanced complications of their edentulous state.;"Jaw relations; biomechanical tooth arrangement; alternative occlusal schemes; articulators.";25
PRT200;Prosthetic Techniques 200;Level 2;5101;None;None;Explain procedures and perform laboratory work for complete dentures.;"Complete removable prostheses construction; denture bearing anatomy; jaw relations; articulators.";10
RAD123;Radiography 123;Level 1;5211;None;None;Perform safe intra-oral dental radiographic procedures on models.;"Radiation safety; intra-oral techniques; film processing; darkroom auditing.";5
RAD200;Radiography 200;Level 2;5211;None;None;Perform and evaluate dental radiographs in a clinical setting.;"Advanced radiography; patient positioning; panoramic imaging; quality control.";15
RAD301;Radiological Diagnosis for Oral Health 301;Level 3;5211;None;None;Interpret dental and maxillofacial radiographs for common oral pathologies.;"Radiographic pathology; bone lesion diagnostics; caries and periodontal interpretation.";10
RAD400;Diagnostics and Radiology 400;Level 4;5101;None;None;"Analyze complex radiographic images; formulate clinical radiological reports.";"Advanced diagnostic radiology; CBCT imaging; salivary gland imaging; pathological reporting.";10
RAP220;Radiation Physics 220;Level 2;5101;None;None;Understand physical principles of X-ray generation and radiation safety protocols.;"Atomic structure; electromagnetic spectrum; X-ray tube physics; radiation dosimetry; safety.";5
RAT200;Radiographic Techniques 200;Level 2;5101;None;None;Perform basic dental radiographic exposures and describe film compositions.;"History of radiographs; film construction; infection control; radiographic landmarks; ALARA.";5
RAT300;Radiographic Techniques 300;Level 3;5101;None;None;Produce high-quality intra-oral and extra-oral radiographs.;"Clinical exposure; film processing; troubleshooting errors; patient radiation protection.";5
SCP313;Clinical Oral Health 313;Level 3;5211;None;None;Demonstrate professional development skills and execute community engagement project.;"Primary health care projects; health policy implementation; advanced clinical skills.";10
SPC210;Special Care for Oral Health 210;Level 2;5211;None;None;Manage oral health requirements for patients with special physical or cognitive needs.;"Geriatric dentistry; oncology oral care; cardiovascular/systemic disease modifications.";20
SSD112;Social Sciences for Oral Health 122;Level 1;5211;None;None;Analyze social determinants of health and disease.;"Sociology of health; behavioral models in dental care; patient interactions.";15
SSD320;Social Sciences and Dentistry 320;Level 3;5101;None;None;Examine social, political, and economic determinants of health and disease.;"Sociology of health; behavioral models in dental care; patient-professional interactions.";10
XHO120;Introduction to Xhosa 120 (Dentistry);Level 1;5101, 5211;None;None;Communicate basic clinical terminology and hold conversations with patients in isiXhosa.;"Xhosa in context; dental clinic vocabulary; basic grammar; reading, writing, speaking, and understanding.";10
ANS611;PGDip Aesthetic Dentistry 611;Postgrad Dip;5333;None;None;"Utilize IT to access literature on aesthetic dentistry; evaluate and report.";"Clinical photography; color science; composite restorations; smile design; aesthetics.";60
ANS612;PGDip Aesthetic Dentistry 612;Postgrad Dip;5333;ANS611;None;"Critically analyze literature for clinical case reports; provide tooth whitening.";"Clinical case report and presentation; aesthetics and removable prostheses; botox.";60
END611;PGDip Endodontics 611;Postgrad Dip;5333;None;None;Demonstrate comprehensive knowledge of pulp pathobiology and diagnosis.;"Pathology of dental pulp; diagnostics; emergency endodontics; pre-clinical techniques.";60
END612;PGDip Endodontics 612;Postgrad Dip;5333;END611;None;"Perform advanced root canal treatment; manage complex root anatomy.";"Advanced clinical endodontics; rotary instrumentation; endodontic surgery.";60
FOD611;PGDip (Forensic Dentistry) 611;Postgrad Dip;5333;None;None;Analyze dental records and skeletal remains for legal identification.;"Forensic odontology; identification methods; bite mark analysis; court procedures.";60
FOD612;PGDip (Forensic Dentistry) 612;Postgrad Dip;5333;FOD611;None;"Produce a forensic scientific report of high standard; present findings.";"Scientific report writing; case presentations; literature review; legal testimony.";60
IMP613;PGDip Implantology 613;Postgrad Dip;5333;None;None;Demonstrate basic knowledge of osseointegration, patient selection, and clinical evaluation.;"Terminology; osseointegration; healing around implants; patient clinical evaluation.";60
IMP614;PGDip Implantology 614;Postgrad Dip;5333;IMP613;None;Diagnose, treatment plan, and execute basic implant placement and restorations.;"Advanced treatment planning; surgical techniques; prosthetic procedures; complications.";60
INO611;PGDip (Interceptive Orthodontics) 611;Postgrad Dip;5333;None;None;"Examine and identify developing malocclusions; design interceptive appliances.";"Growth and development; classification of malocclusions; removable appliance design.";60
INO612;PGDip (Interceptive Orthodontics) 612;Postgrad Dip;5333;INO611;None;Treat patients with developing malocclusions using interceptive techniques.;"Clinical orthodontics; active interceptive treatment; appliance adjustments.";60
MFR611;PGDip (Maxillofacial Radiology) 611;Postgrad Dip;5333;None;None;"Understand physics of X-radiation; describe and operate imaging equipment.";"Radiation physics; image production; radiation protection; intra-oral techniques.";60
MFR612;PGDip (Maxillofacial Radiology) 612;Postgrad Dip;5333;MFR611;None;"Interpret intra-oral and extra-oral radiographs; formulate diagnostic reports.";"Radiological anatomy; pathology interpretation; advanced imaging modalities.";60
ORS611;PGDip (Minor Oral Surgery) 611;Postgrad Dip;5333;None;None;Examine surgical oral patients and perform minor outpatient operations.;"Surgical anatomy; instruments; suture techniques; dental extraction surgery.";60
ORS612;PGDip (Minor Oral Surgery) 612;Postgrad Dip;5333;ORS611;None;Diagnose and manage advanced minor oral surgery cases and complications.;"Surgical case rotations; surgical audit; complications management; case report.";60
PED611;PGDip (Paediatric Dentistry) 611;Postgrad Dip;5333;None;None;Manage pulp and traumatic injuries in primary and young permanent teeth.;"Pulp therapy; trauma; soft tissue infections; special needs; literature critique.";60
PED612;PGDip (Paediatric Dentistry) 612;Postgrad Dip;5333;None;None;Design clinical treatment plans for children with complex oral health needs.;Advanced clinical management, restorative plans, pediatric surgery.;60
ANA825;Gross Anatomy 825;Master's;5807;None;None;Demonstrate comprehensive knowledge of gross anatomy for Maxillofacial Radiology.;Detailed gross dissection and anatomy of head, neck, and neural systems.;20
ANP811;Anatomical Pathology for MSc 811;Master's;5807;None;None;Analyze tissue specimens and explain pathogenesis of systemic and oral diseases.;Principles of anatomical pathology, cytopathology, tissue processing, and slide analysis.;45
ANP812;Anatomical Pathology for MSc II;Master's;5807;None;None;Perform advanced pathological investigations and interpret biopsy reports.;Advanced systemic and special anatomical pathology, clinical correlation, and diagnostic reporting.;40
DNT801;Dentistry Master’s Thesis 801;Master's;5800;None;None;"Propose relevant oral health research question; prepare research protocol.";"Conducting a literature search; writing a literature review; thesis execution.";180
DNT802;Dentistry Master’s Thesis 802;Master's;5800;None;None;Submit and defend original Master's research thesis.;Supervised research thesis final writing, submission, and defense.;9
DNT803;Dentistry Mini-Thesis 803;Master's;5807, 5801, 5881, 5811;None;None;"Write a literature review; carry out a research project; capture and analyze dataset.";"Implementing a research project; preparing a written research report; presenting findings.";70
DNT804;Dentistry Mini-Thesis 804;Master's;5807, 5801, 5881, 5811;None;None;Finalize, submit and defend the mini-thesis.;Mini-thesis writing, submission, and research presentation.;9
DNT901;Dentistry Doctoral Thesis 901;Doctoral;5901;None;None;Make a substantial original contribution to knowledge in the field of oral health.;Supervised execution of Doctoral research dissertation.;360
DNT902;Dentistry Doctoral Thesis 902;Doctoral;5901;None;None;Finalize, present, and defend Doctoral research dissertation.;Doctoral dissertation writing, defense, and journal article publication.;10
DPH811;Introduction to Dental Public Health 811;Master's;5881;None;None;Discuss public health, health promotion and primary health care.;"Programme orientation; public health; library orientation; computer literacy.";20
DPH812;Behavioural Science and Dentistry 812;Master's;5881;None;None;"Explain perceptions; recognise determinants of behaviour and how they relate to dental health.";"Social and behavioural sciences in dentistry; patient compliance; behavioral factors.";20
DPH813;Theory and Application of Economic Evaluation in Health Care 813;Master's;5881;None;None;Explain the theory and techniques of economic evaluation in health care.;"Economic evaluation techniques; modeling in health economics; health systems funding.";20
DPH814;Introduction to Dental Public Health 814;Master's;5807;None;None;Explain public health, health promotion, primary health care, and biostatistics.;"Public health; health promotion; biostatistics; situation analysis; ethics.";50
DPH821;Dental Public Health (DPH) Case Studies (1-6) 821;Master's;5807, 5881;None;None;Analyze and report on dental public health cases from clinical and community settings.;"DPH Case studies; community diagnostics; intervention reports.";20
DPH822;Field Placements 822;Master's;5881;None;None;Plan, implement, and evaluate dental public health programmes.;"Public health; health promotion; health management; epidemiology field application.";30
DPH823;Field Placements 2 823;Master's;5881;None;None;Present seminars which engage critically with designated dental public health.;Planning, implementation, and evaluation of dental public health programmes.;30
DPH824;Academic Placements 824;Master's;5881;None;None;Prepare and deliver undergraduate lectures and seminars.;"Teaching undergraduates; clinical supervision and service; administration.";30
DPH831;Dental Public Health (DPH) Case Studies (7-10) 831;Master's;5881;None;None;Develop comprehensive solutions for advanced community oral health problems.;"Complex case studies; multi-sectoral health programs; health impact assessment.";20
DPH834;Academic Placements (1-4) 834;Master's;5881;None;None;"Supervise clinical sessions; deliver lectures; coordinate modules.";"Undergraduate teaching; clinical supervision; module coordination.";20
DPH837;Field Placements 837;Master's;5881;None;None;Coordinate and evaluate municipal-level dental public health initiatives.;"Municipal health management; policy review; data-driven public health reporting.";30
DPH838;Field Placements 838;Master's;5881;None;None;Audit and evaluate provincial oral health services and programs.;"Provincial oral health system monitoring; quality audits; budget reviews.";30
DPH839;Applied Dental Public Health 839;Master's;5881;None;None;Formulate national oral health policies and strategic plans.;"National health systems; policy formulation; strategic planning; dental human resources.";30
DPH841;Academic Placements 841;Master's;5881;None;None;Design clinical assessment rubrics and coordinate professional development.;"Curriculum design; assessment methodologies; CPD facilitation; clinical auditing.";20
DPH842;Academic Placements 842;Master's;5881;None;None;Assess and report on department-specific academic management challenges.;"Departmental management; budget tracking; university administration; quality assurance.";20
DPH851;Dental Public Health (DPH) Case Studies (7-10) 851;Master's;5807;None;None;Critically analyze complex dental public health case files.;"Advanced community diagnosis; interdisciplinary health plans; oral health monitoring.";20
FOR811;Forensic Dentistry 811;Master's;5807;None;None;Describe the legal system and the role of the forensic dentist.;Gather, preserve and prepare evidence for court presentation.;40
FOR813;Forensic Odontology (rotation) 813;Master's;5811;None;None;Demonstrate an insight into forensic aspects of identification.;Post-mortem examinations, dental records comparison, age estimation.;10
FOR814;Forensic Odontology (rotation) 814;Master's;5811;None;None;Demonstrate an insight into the law and ethics relating to death certification.;Forensic pathology, legal and ethical codes, tissue and organ retention.;10
INO821;Interceptive Orthodontics 821;Master's;5801, 5807;None;None;Identify interceptive orthodontic indications and growth factors.;"Biologic basis of occlusion; growth and development; space management.";10
INO822;Interceptive Orthodontics 822;Master's;5801, 5807;None;None;Design and construct basic interceptive orthodontic appliances.;"Laboratory construction; clinical adjustment of removable appliances.";5
MFO811;Maxillofacial and Oral Surgery 811;Master's;5811;None;None;Critically discuss the literature pertaining to the field of Maxillofacial and Oral Surgery.;Surgical anatomy, advanced oncology, surgical principles, case diagnostics.;80
MFO812;Maxillofacial and Oral Surgery 812;Master's;5811;None;None;Perform advanced maxillofacial surgeries under specialist guidance.;Trauma surgery, reconstructive procedures, surgical cleft management.;100
MFO813;Maxillofacial and Oral Surgery 813;Master's;5811;None;None;Perform complex surgical cleft lip and palate and head/neck oncology treatments.;Surgical oncology, advanced cleft procedures, complex structural repairs.;200
MFO814;Maxillofacial and Oral Surgery 814;Master's;5811;None;None;Perform independent specialist surgical operations and manage departments.;Surgical ward coordination, specialist auditing, independent surgical clinicals.;100
MFO815;Maxillofacial and Oral Surgery 815;Master's;5811;None;None;Demonstrate ultimate clinical excellence as a maxillofacial surgical specialist.;Independent clinical service, academic presentation, final specialist exam.;100
OMP811;Oral Medicine and Periodontics 811;Master's;5811;None;None;Diagnose and manage basic oral mucosal and periodontal disease.;"Clinical training; biopsy; non-surgical therapy; diagnostic logs; case reviews.";60
OMP812;Oral Medicine and Periodontics 812;Master's;5811;None;None;Perform advanced surgical and diagnostic procedures in periodontology.;"Gingival surgery; bone grafting; implant placement; biopsy; patient counseling.";80
OMP813;Oral Medicine and Periodontics 813;Master's;5811;None;None;Examine and manage patients with complex systemic-periodontal linkages.;"Advanced periodontology; systemic risk factors; implant complications; teaching supervision.";100
OMP814;Oral Medicine and Periodontics 814;Master's;5811;None;None;Examine, diagnose, and manage complex cases as a clinical specialist.;"Independent specialist practice; clinic coordination; research report; final examinations.";80
ORB811;Oral Biology 811;Master's;5801, 5807, 5811, 5881;None;None;"Deduce structure-function relationships of oral tissues; explain genetics.";"Embryology; histology; macroscopic structures; clinical genetics of oral cavity.";15
ORB821;Oral Biology with Anatomy and Physiology 821;Master's;5811;None;None;Explain head, neck, and oral cavity embryological development and neurovascular systems.;"Embryological development of face, jaws, nervous system; detailed neurovascular anatomy.";30
ORM813;Oral Microbiology and Immunology 813;Master's;5807, 5881;None;None;Analyze the role of oral microbiomes in infectious diseases and immune responses.;"Oral pathogens; caries/periodontitis microbiology; host immune responses; vaccine theory.";15
ORP811;Histology for Anatomical Pathology 811;Master's;5881;None;None;Prepare and analyze histological sections of oral and maxillofacial tissues.;"Advanced micro-anatomy; staining techniques; slide preparation; microscopy audits.";15
ORT851;Clinical Orthodontics 851;Master's;5811;None;None;"Diagnose and manage orthodontic cases; monitor patient progress.";"Clinical rotations; case adjustments; treatment outcome assessments; ethics.";25
PAT811;Oral Pathology 811;Master's;5801, 5807, 5811, 5881;None;None;Analyze oral and maxillofacial biopsy tissue specimens diagnostic criteria.;Biopsy histopathology, tumor classifications, diagnostic slide audits.;15
PAT812;General Pathology 812;Master's;5811;None;None;Explain systemic pathology and general principles of cell injury and disease.;"Cellular injury; inflammation; hemodynamic disorders; immunopathology; neoplasia.";15
PAT813;Diagnostic Oral Maxillofacial Pathology and Radiology 813;Master's;5811;None;None;Correlate clinical, radiological, and histopathological data to formulate diagnosis.;"Pathological-radiological audits; jaw tumor diagnostics; differential diagnosis.";40
PAT841;Basic Pathology 841;Master's;5807;None;None;Explain the general mechanisms of disease, cell death, and neoplasia.;"Cell injury; molecular mechanisms of cancer; tissue repair; hemodynamic path.";15
PED811;Paediatric Dentistry 811;Master's;5801;None;None;Explain child development and behavior management strategies in dental practice.;"Pedodontic pharmacology; behavior modification; clinical pediatric techniques.";60
PED812;Paediatric Dentistry 812;Master's;5801;None;None;Diagnose and treat complex oral diseases in pediatric and medically compromised patients.;"Restorative & surgical pediatric dentistry; special needs care; team leadership; case audits.";80
PER812;Periodontics and Periodontal Aspects of Implantology 812;Master's;5811;None;None;Explain advanced periodontal surgical and implant placement protocols.;"Periodontal surgery; bone grafts; osseointegration; implant placement techniques.";15
PER821;Periodontology IA 821;Master's;5807;None;None;Examine and manage patients with advanced periodontal disease under supervision.;"Clinical diagnosis; root planing; gingivectomy; periodontitis risk assessment.";70
PER822;Periodontology 2A 822;Master's;5807;None;None;"Manage complex periodontal cases; perform reconstructive surgeries.";"Mucogingival surgery; bone regeneration; implant placement; final case portfolios.";80
PRS811;Prosthodontics 811;Master's;5811;None;None;Thoroughly discuss and restore ideal occlusion with removable prostheses.;"Occlusal principles; complete denture construction; clinical jaw relations.";90
PRS812;Prosthodontics 812;Master's;5811;PRS811, ORB821;PAT811, PER812, RAD812;"Reconstruct different stages of occlusal disease; manage maxillofacial defects.";"Occlusal disease reconstruction; osseointegration; extra-oral prosthesis; materials.";65
PRS813;Prosthodontics 813;Master's;5811;PRS812, PAT811, PER812, RAD812;None;Manage treatment of periodontally, orthodontically, and orthognatically compromised dentitions.;"Interdisciplinary treatment; complex RPD design; challenging edentulous cases.";120
PRS814;Prosthodontics 814;Master's;5811;None;None;Rehabilitate and maintain oral function and appearance in clinically challenging patients.;"New and actual developments in prosthodontics; biocompatible substitutes; case portfolios.";80
PRS853;Prosthetic Dentistry 853;Master's;5801;None;None;Design and clinically insert complex prosthetics for restorative dentistry.;"Prosthodontic clinical procedures; complex restorations; laboratory protocols.";80
PSE811;Physiology for MFOS 811;Master's;5811;None;None;Explain advanced physiological processes of cardiovascular, neural, and muscular systems.;"General surgical physiology; blood pressure regulation; neuromuscular transmission.";15
RAD812;Radiology 812;Master's;5811, 5801;None;None;"Trace developments in dental imaging; select appropriate radiological views.";"Developments in imaging technologies; clinical radiology audits; radiation protection.";5
RAD821;Radiation Physics/Radiation Protection 821;Master's;5807;None;None;Apply radiation safety laws and protection protocols in maxillofacial imaging.;"Radiation safety; protection design; equipment calibrations; regulatory compliance.";10
RAD822;Radiographic Techniques 822;Master's;5807;None;None;Perform advanced and complex dental and maxillofacial radiographies.;"CBCT; sialography; extra-oral radiographic techniques; pediatric radiology.";20
RAD823;Signs in Maxillofacial Imaging 823;Master's;5807;None;None;Identify and analyze key radiological signs in jaw and facial imaging.;Radiological signs of benign/malignant jaw tumors, cysts, and fibro-osseous lesions.;35
RAD824;Maxillofacial Radiology and Diagnostic Interpretation 824;Master's;5807;None;None;Formulate definitive radiological diagnoses and construct reports of high specialist standard.;"Specialist diagnostic interpretation; differential diagnosis of face and neck lesions.";80
RMT811;Research Methods 811;Master's;5801, 5807, 5811, 5881;None;None;"Formulate viable research protocols; select and apply statistical tests.";"Quantitative/qualitative research design; statistical analysis; research ethics.";20
RST811;Restorative Dentistry 811;Master's;5801;None;None;Perform preclinical techniques for advanced fixed and removable restorations.;"Advanced fixed restorations; removable prosthetics; dental material science.";100
RST812;Restorative Dentistry 812;Master's;5801;None;None;Diagnose and construct comprehensive treatment plans for compromised dentitions.;"Clinical practice; interdisciplinary management; complex operative dentistry.";100
RST813;Restorative Dentistry 813;Master's;5801;None;None;Perform advanced clinical restorative procedures independently at specialist level.;"Clinical restoratives; final case documentations; clinical auditing; final exams.";80
